nummer;artiest;titel
402;Edwin Jongedijk;Oadem mien oadem
401;Henk Wijngaard;H‚ Suzie
400;Normaal;Alie
399;Bette Midler;The rose
398;Boudewijn de Groot;Welterusten mijnheer de president
397;Marco Schuitmaker;Beter af alleen
396;Krezip & Danny Vera;Make it a memory
395;Dutch Boys;America en Oude Pekela
394;Guns n' Roses;Knockin' on heaven's door
393;Swinder;Ik zai Pekel nooit weer
392;Jannes;Laat de zon maar schijnen
391;Adele;Someone like you
390;P‚ Dalo & Rini Rosso;Italioanen
389;Ike & Tina Turner;Proud Mary
388;The Rolling Stones;(I can't get no) Satisfaction
387;Jan Henk de Groot;Stiltecoupe
386;ABBA;The day before you came
385;Vader Abraham;In 't kleine caf‚ aan de haven
384;Queen;I want to break free
383;Elvis Presley;My boy
382;Johan Raspe;Moi
381;The Cats;Marian
380;Joost;Europapa
379;Bee Gees;Massachusetts
378;Henk Wijngaard & Bernardine Waterloo;Mijn Groningen
377;Dani‰l Lohues;Op 't platteland
376;Cuby & The Blizzards;Appleknockers Flophouse
375;Elton John;Candle in the wind
374;Omt•ch;Kapsones
373;ABBA;Fernando
372;Steernvanger;Het mooiste wat ik ooit zag
371;Bruce Springsteen;Streets of Philadelphia
370;Dolly Parton;Jolene
369;Marlene Bakker;Oaventuren
368;Queen;Somebody to love
367;Wia Buze & Jasper Wever;As ik denk aan die
366;Marco Borsato;Dochters
365;Lucas & Gea Hulshof;De waarheid
364;ZZ Top;Gimme all your lovin'
363;Dana Winner;Westenwind
362;Ede Staal;I'm in the blues
361;Son Mieux;Multicolor
360;Edwin Jongedijk;Mien d”rp
359;Jan Smit;Als de morgen is gekomen
358;Status Quo;Roll over lay down
357;Steernvanger;Steernvanger
356;Danny Vera;Pressure makes diamonds
355;Jannes;Een beetje meer
354;Jan Henk de Groot;Bonney
353;ABBA;Eagle
352;Frans Duijts;Jij denkt maar dat je alles mag van mij
351;Harry Niehof;Pure laifde
350;Bryan Adams;Summer of '69
349;Boudewijn de Groot;Jimmy (hoe sterk is de eenzame fietser)
348;Marlene Bakker;Stain
347;Pink Floyd;Shine on you crazy diamond
346;Jan Henk de Groot;Fiene
345;Jaap Reesema & Pommelien Thijs;Nu wij niet meer praten
344;ABBA;Chiquitita
343;Wat Aans!;Metworst
342;Steernvanger;Alle beren aan de kaant
341;Andr‚ Hazes Jr.;Leef
340;Adele;Skyfall
339;Irene Wilkens & Sikkom Kult;Nog ainmoal daanzen mit die
338;Guus Meeuwis;Geef mij je angst
337;Wat Aans!;Home
336;The Rolling Stones;Paint it black
335;Jannes;Laat me vrij
334;Andr‚ Rieu;The second waltz
333;Klaas Spekken;Takken in de wind
332;Creedence Clearwater Revival;Proud Mary
331;Andr‚ Hazes;Zij gelooft in mij
330;Burdy;Kom kus mie
329;Kraantje Pappie;Feesttent
328;Metallica;One
327;Hail Gewoon;Nana neusbeer
326;ABBA;Waterloo
325;Steernvanger;Al groot
324;Phil Collins;In the air tonight
323;Tino Martin & Mart Hoogkamer;Hartslag van de stad
322;Simon & Garfunkel;El Condor pasa
321;P‚ & Rinus;Consternoatie in de familie
320;Coldplay;Viva la vida
319;Harry Niehof;Grunnen beeft
318;Dani‰l Lohues;Aoardig doen tegen mensen die niet aordig doen
317;Andr‚ Hazes;Geef mij je angst
316;Vangelis;Conquest of paradise
315;De Troebadoers;Oma Siepelsju
314;Diverse Groninger Artiesten;As vaaier woorden
313;Golden Earring;Another 45 miles
312;Ede Staal;Sloaperstil
311;Driefzand feat. Irene Wilkens;Lammerburen
310;Pink Floyd;Comfortably numb
309;Suzan & Freek;Als het avond is
308;Erwin de Vries;Ooit
307;Kensington;Sorry
306;Edwin Jongedijk;Astoe aan mie denkst
305;Ancora;Vrij als de wind
304;Coldplay;Feelslikeimfallinginlove
303;Burdy;Ik hol van Grunnen
302;Steernvanger;Vrij
301;Bruce Springsteen;Born to run
