positie;artiest;titel;;;;
631;Splitsing;Wind en zeilen;;;;
630;Marlene Bakker;Loat Grunnen nait zakken;;;;
629;The Common Linnets;Calm after the storm;;;;
628;Mooi Wark;Idioot;;;;
627;Fox the Fox;Precious little diamond;;;;
626;Alex Vissering;As ik thoes kom;;;;
625;Jan Henk de Groot & Marlene Bakker;Noeit meer missen;;;;
624;Europe;The final countdown;;;;
623;Suzan & Freek;Blauwe dag;;;;
622;ABBA;One of us;;;;
621;Alma Loorbach;Polderkiend;;;;
620;Eagles;The last resort;;;;
619;Rita Hovink;Laat me alleen;;;;
618;Nick & Simon;Rosanne;;;;
617;Orchestral Manoeuvres in the Dark;Maid of Orleans;;;;
616;Voorheen De Bende & Pazzipanten;Drij cowboys;;;;
615;Rob de Nijs;Ritme van de regen;;;;
614;Golden Earring;Long blond animal;;;;
613;Jannes;Van Casablanca naar Napoli;;;;
612;Wia Buze;t Laifste;;;;
611;Racoon;Het is al laat toch;;;;
610;Phil Collins;In the air tonight;;;;
609;Marco Borsato;Dochters;;;;
608;P Daalemmer & Rooie Rinus;Gezina;;;;
607;Kate Bush;Wuthering heights;;;;
606;Henk Wijngaard;H Suzie;;;;
605;Bee Gees;Don't forget to remember;;;;
604;Erwin de Vries;Dicht tegen mie aan;;;;
603;Queen;Innuendo;;;;
602;Armand;Ben ik te min;;;;
601;George Baker Selection;Little green bag;;;;
600;Driefzand;Zunlicht;;;;
599;Eddy Koekkoek;Kerstmis in Groningen;;;;
598;Simon & Garfunkel;The boxer;;;;
597;Danil Lohues;Op 't platteland;;;;
596;Coldplay;Clocks;;;;
595;The Cats;Vaya con dios;;;;
594;Bl?f;Aan de kust;;;;
593;Acda en de Munnik;Het regent zonnestralen;;;;
592;Herman Brood;Never be clever;;;;
591;The Amazing Stroopwafels;Oude Maasweg;;;;
590;Michael Jackson;Billie Jean;;;;
589;Bert Hadders & De Nozems;Woar blift de zummer?;;;;
588;Meat Loaf;Bat out of hell;;;;
587;Dit Ist;Vrunden van vrouger;;;;
586;Harry Niehof;Pure laifde;;;;
585;BZN;Banjo man;;;;
584;Celine Dion;My heart will go on;;;;
583;Suzan & Freek;Goud;;;;
582;Mooi Wark;Van het platteland;;;;
581;Neil Young;Heart of gold;;;;
580;Bob Heidema;Rondje Grunnen;;;;
579;Stef Ekkel;De woonboot;;;;
578;The Rolling Stones;It's all over now;;;;
